TimeStamp,DateTime,RH,Fan,Swing,Mode,Status,RoomTemp,Setpoint
1614359986,2/26/2021 17:19,32.39795685,1,1,1,1,25.81979179,26
1614360346,2/26/2021 17:25,33.94369507,1,1,1,1,24.77569199,26
1614360706,2/26/2021 17:31,34.09933472,1,1,1,1,24.60746193,26
1614361066,2/26/2021 17:37,34.65018845,1,1,1,1,24.44991302,26
1614361426,2/26/2021 17:43,34.99656677,1,1,1,1,24.48195648,26
1614361786,2/26/2021 17:49,34.83329391,1,1,1,1,24.55138397,26
1614362146,2/26/2021 17:55,34.9370575,1,1,1,1,24.52468109,26
1614362506,2/26/2021 18:01,35.05760193,1,1,1,1,24.56740761,26
1614362866,2/26/2021 18:07,35.23613358,1,1,1,1,24.6368351,26
1614363226,2/26/2021 18:13,35.57488251,1,1,1,1,24.59411049,26
1614363586,2/26/2021 18:19,35.92584229,1,1,1,1,24.55138397,26
1614363946,2/26/2021 18:25,35.66033554,1,1,1,1,25.90524101,26
1614364306,2/26/2021 18:31,35.66949081,1,1,1,1,26.85053825,26
1614364666,2/26/2021 18:37,35.73052597,1,1,1,1,27.35790062,26
1614365026,2/26/2021 18:43,35.60692596,1,1,1,1,27.63828468,26
1614365386,2/26/2021 18:49,35.68322372,1,1,1,1,27.85191154,26
1614365746,2/26/2021 18:55,35.70763779,1,1,1,1,27.97741699,26
1614366106,2/26/2021 19:01,35.73052597,1,1,1,1,28.09224129,26
1614366466,2/26/2021 19:07,35.6343956,1,1,1,1,28.18837357,26
1614366826,2/26/2021 19:13,35.26665115,1,1,1,1,28.24444962,26
1614367186,2/26/2021 19:19,35.28648758,1,1,1,1,28.31921959,26
1614367546,2/26/2021 19:25,35.38262177,1,1,1,1,28.37529564,26
1614367906,2/26/2021 19:31,35.44060516,1,1,1,1,28.40199852,26
1614368266,2/26/2021 19:37,35.57793427,1,1,1,1,28.45807648,26
1614368626,2/26/2021 19:43,35.57946014,1,1,1,1,28.47142792,26
1614368986,2/26/2021 19:49,35.86327744,1,1,1,1,28.50080109,26
1614369346,2/26/2021 19:55,36.0402832,1,1,1,1,28.5435257,26
1614369706,2/26/2021 20:01,35.89074707,1,1,1,1,28.52750397,26
1614370066,2/26/2021 20:07,36.0692749,1,1,1,1,28.5435257,26
1614370426,2/26/2021 20:13,36.04180908,1,1,1,1,28.57023048,26
1614370786,2/26/2021 20:19,36.00366211,1,1,1,1,28.58358192,26
1614371146,2/26/2021 20:25,36.2874794,1,1,1,1,28.61295509,26
1614371506,2/26/2021 20:31,36.11505127,1,1,1,1,28.61295509,26
1614371866,2/26/2021 20:37,36.30273819,1,1,1,1,28.62630653,26
1614372226,2/26/2021 20:43,36.3973465,1,1,1,1,28.64232826,26
1614372586,2/26/2021 20:49,36.64149094,1,1,1,1,28.66903114,26
1614372946,2/26/2021 20:55,36.65369797,1,1,1,1,28.66903114,26
1614373306,2/26/2021 21:01,36.83832932,1,1,1,1,28.66903114,26
1614373666,2/26/2021 21:07,36.5346756,1,1,1,1,28.66903114,26
1614374026,2/26/2021 21:13,36.84290695,1,1,1,1,28.69840622,26
1614374386,2/26/2021 21:19,36.85969162,1,1,1,1,28.7251091,26
1614374746,2/26/2021 21:25,36.9924469,1,1,1,1,28.7251091,26
1614375106,2/26/2021 21:31,37.00617981,1,1,1,1,28.7251091,26
1614375466,2/26/2021 21:37,37.31288528,1,1,1,1,28.7251091,26
1614375826,2/26/2021 21:43,37.29915237,1,1,1,1,28.7251091,26
1614376186,2/26/2021 21:49,37.3693428,1,1,1,1,28.75448227,26
1614376546,2/26/2021 21:55,37.4792099,1,1,1,1,28.76783371,26
1614376906,2/26/2021 22:01,37.50209808,1,1,1,1,28.75448227,26
1614377266,2/26/2021 22:07,37.5951767,1,1,1,1,28.76783371,26
1614377626,2/26/2021 22:13,37.73250961,1,1,1,1,28.78118515,26
1614377986,2/26/2021 22:19,37.74929428,1,1,1,1,28.79453659,26
1614378346,2/26/2021 22:25,37.84084702,1,1,1,1,28.79453659,26
1614378826,2/26/2021 22:33,37.92324829,1,1,1,1,28.81055832,26
1614379186,2/26/2021 22:39,37.98886108,1,1,1,1,28.81055832,26
1614379546,2/26/2021 22:45,37.98886108,1,1,1,1,28.82391167,26
1614379906,2/26/2021 22:51,38.15213394,1,1,1,1,28.83726311,26
1614380266,2/26/2021 22:57,38.22995377,1,1,1,1,28.81055832,26
1614380626,2/26/2021 23:03,38.33676529,1,1,1,1,28.82391167,26
1614380986,2/26/2021 23:09,38.29861832,1,1,1,1,28.83726311,26
1614381346,2/26/2021 23:15,38.33981705,1,1,1,1,28.83726311,26
